...1,studyName,Sample Number,Species,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Year,anio
199,PAL0809,47,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,No,2008-11-09,45.5,13.9,210,4200,FEMALE,8.47829,-26.61788,Nest never observed with full clutch.,2008,2008
200,PAL0809,48,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,No,2008-11-09,50.5,15.9,225,5400,MALE,8.65803,-26.57585,Nest never observed with full clutch.,2008,2008
271,PAL0910,119,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,No,2009-12-01,47.2,13.7,214,4925,FEMALE,7.99184,-26.20538,Nest never observed with full clutch.,2009,2009
277,PAL0708,1,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N61A1,No,2007-11-19,46.5,17.9,192,3500,FEMALE,9.03935,-24.30229,Nest never observed with full clutch.,2007,2007
278,PAL0708,2,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N61A2,No,2007-11-19,50,19.5,196,3900,MALE,8.92069,-24.23592,Nest never observed with full clutch.,2007,2007
293,PAL0708,17,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N71A1,No,2007-11-30,50.3,20,197,3300,MALE,10.02019,-24.54704,Nest never observed with full clutch.,2007,2007
294,PAL0708,18,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N71A2,No,2007-11-30,58,17.8,181,3700,FEMALE,9.14382,-24.57994,Nest never observed with full clutch.,2007,2007
299,PAL0708,23,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N85A1,No,2007-11-28,43.2,16.6,187,2900,FEMALE,9.35416,-25.01185,Nest never observed with full clutch.,2007,2007
300,PAL0708,24,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N85A2,No,2007-11-28,50.6,19.4,193,3800,MALE,9.28153,-24.97134,Nest never observed with full clutch.,2007,2007
301,PAL0708,25,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N89A1,No,2007-11-28,46.7,17.9,195,3300,FEMALE,9.74144,-24.59467,Nest never observed with full clutch.,2007,2007
302,PAL0708,26,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N89A2,No,2007-11-28,52,19,197,4150,MALE,9.36799,-24.47142,Nest never observed with full clutch.,2007,2007
303,PAL0809,27,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N61A1,No,2008-11-25,50.5,18.4,200,3400,FEMALE,8.9399,-23.89017,Nest never observed with full clutch.,2008,2008
304,PAL0809,28,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N61A2,No,2008-11-25,49.5,19,200,3800,MALE,9.63074,-24.34684,Nest never observed with full clutch.,2008,2008
315,PAL0809,39,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N72A1,No,2008-11-24,46.9,16.6,192,2700,FEMALE,9.80589,-24.73735,Nest never observed with full clutch.,2008,2008
316,PAL0809,40,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N72A2,No,2008-11-24,53.5,19.9,205,4500,MALE,10.02544,-24.90816,Nest never observed with full clutch.,2008,2008
341,PAL0910,65,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N99A1,No,2009-11-21,43.5,18.1,202,3400,FEMALE,9.37608,-24.40753,Nest never observed with full clutch.,2009,2009
342,PAL0910,66,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N99A2,No,2009-11-21,49.6,18.2,193,3775,MALE,9.4618,-24.70615,Nest never observed with full clutch.,2009,2009
